,C,A,B,N,M,R,G,H,D
6176,1,0,0,0,1,0,0,0,0
6177,2,0,1,0,0,0,0,0,0
6178,0,1,0,0,0,1,0,0,0
6179,1,1,0,0,0,0,0,0,0
6180,0,1,0,0,2,0,0,0,0
6181,4,0,0,0,0,1,0,0,0
6182,1,0,0,0,0,0,1,0,0
6183,2,0,0,0,1,0,0,0,0
6184,0,1,0,0,1,0,0,0,0
6185,0,0,0,2,0,1,0,0,0
6186,0,1,0,1,1,0,0,0,0
6187,0,1,0,0,1,0,0,0,0
6188,1,0,0,1,0,0,0,0,0
6189,3,0,0,0,1,0,0,0,0
6190,0,3,0,0,0,0,0,0,0
6191,3,0,1,0,0,0,0,0,0
6192,4,2,1,1,1,0,0,1,0
6193,0,0,0,1,1,0,0,0,0
6194,2,0,0,1,0,0,0,0,0
6195,0,0,0,0,1,1,0,0,0
6196,0,1,0,1,0,0,0,0,0
6197,0,0,0,1,1,0,0,0,0
6198,2,2,0,0,0,0,0,0,0
6199,1,2,0,1,0,0,0,0,0
6200,1,1,0,0,0,0,0,0,0
6201,0,1,0,0,1,0,0,0,0
6202,0,0,0,0,1,1,0,0,0
6203,0,1,1,0,0,1,0,0,0
6204,5,3,0,0,0,0,0,0,0
6205,5,0,0,0,0,0,0,1,0
6206,0,0,0,0,1,2,0,0,0
6207,5,1,0,2,1,0,0,0,0
6208,4,0,0,1,0,0,0,0,0
6209,0,0,0,1,0,2,0,0,0
6210,0,0,0,1,0,1,0,0,1
6211,3,1,0,0,1,0,0,0,0
6212,2,0,0,0,0,0,0,0,0
6213,0,0,0,1,1,0,0,0,0
6214,3,0,0,0,0,0,0,0,0
6215,2,1,0,0,0,0,0,0,0
6216,0,0,0,0,3,0,0,0,0
6217,0,0,1,0,2,0,0,0,0
6218,4,0,0,0,0,0,0,0,0
6219,2,1,0,0,0,0,0,0,0
6220,2,0,0,2,0,0,0,0,0
6221,0,0,0,0,2,0,0,0,0
6222,3,0,0,0,0,0,0,0,0
6223,1,1,0,0,0,0,0,0,0
6224,2,0,0,0,0,0,1,0,0
6225,0,0,0,0,0,1,1,0,0
6226,0,0,0,1,0,1,0,0,0
6227,0,1,0,0,0,1,0,0,0
6228,1,0,0,0,0,1,0,0,0
6229,3,1,0,1,0,0,0,0,0
6230,0,1,0,1,1,0,0,0,0
6231,0,0,0,0,2,0,0,0,0
6232,2,0,0,0,0,0,0,0,0
6233,0,1,0,0,0,1,0,0,0
6234,1,1,0,0,1,0,0,0,0
6235,0,0,0,0,1,1,0,0,0
6236,1,1,0,0,0,0,0,0,0
6237,3,0,0,0,0,0,0,0,0
6238,1,0,1,0,0,0,0,0,0
6239,1,0,1,0,0,0,0,0,0
6240,0,0,0,1,0,1,0,0,0
6241,0,0,0,0,1,1,0,0,0
6242,2,0,1,1,1,0,0,0,0
6243,2,0,0,0,0,0,0,0,0
6244,2,0,0,0,0,0,0,0,0
6245,0,0,0,1,0,1,0,0,0
6246,2,0,0,1,0,0,0,0,0
6247,4,1,0,0,1,1,0,1,0
6248,0,1,0,0,0,1,0,0,0
6249,0,0,0,0,0,2,0,0,0
6250,2,2,0,0,0,0,0,0,0
6251,2,2,1,0,0,1,0,0,0
6252,2,1,0,0,0,1,0,0,0
6253,0,0,0,1,0,1,0,0,0
6254,1,1,0,0,0,0,0,0,0
6255,0,0,0,0,1,1,0,0,0
6256,4,0,1,0,0,0,0,0,0
6257,3,1,1,0,1,0,0,0,0
6258,4,2,0,2,1,0,0,0,0
6259,5,2,0,0,0,0,0,0,0
6260,0,0,0,1,0,1,0,0,0
6261,5,1,1,0,0,0,0,0,0
6262,0,0,0,1,0,1,0,0,0
6263,2,0,0,0,0,0,0,0,0
6264,0,0,0,1,0,1,0,0,0
6265,0,0,0,2,0,0,0,0,0
6266,0,1,0,1,0,0,0,0,0
6267,1,1,0,0,1,1,0,0,0
6268,4,1,1,0,0,1,0,0,0
6269,4,1,0,0,0,0,0,0,0
6270,0,0,0,2,0,0,0,0,0
6271,0,0,0,1,1,0,0,0,0
6272,2,2,0,0,1,0,0,0,0
6273,0,1,0,0,0,2,0,0,0
6274,0,0,0,0,1,1,0,0,0
6275,3,0,0,0,1,0,0,0,0
6276,0,0,0,0,1,1,0,0,0
6277,1,0,1,0,0,0,0,0,0
6278,3,2,0,0,1,1,0,0,0
6279,2,1,0,1,2,0,0,0,0
6280,1,2,0,1,0,0,0,0,0
6281,0,0,1,0,0,0,0,0,1
6282,0,0,0,1,1,0,0,0,0
6283,4,0,0,0,0,0,0,0,0
6284,4,0,0,0,0,0,0,0,0
6285,3,1,0,0,0,0,0,0,0
6286,3,1,0,0,0,0,0,0,0
6287,3,2,0,0,0,0,0,0,0
6288,4,1,0,1,0,0,0,0,0
6289,5,0,1,0,0,0,0,0,0
6290,0,0,0,1,1,0,0,0,0
6291,3,1,1,1,1,0,0,0,0
6292,3,1,0,0,0,0,0,0,0
6293,2,0,0,0,1,0,0,0,0
6294,0,0,0,0,1,3,0,0,0
6295,1,0,1,0,0,0,0,0,0
6296,2,1,0,1,1,1,0,0,0
6297,5,1,0,0,1,0,0,0,0
6298,3,0,1,0,0,0,0,0,0
6299,3,2,1,2,2,0,0,0,0
6300,0,0,0,2,1,1,0,0,0
6301,0,0,0,2,0,0,0,0,0
6302,1,2,1,1,0,0,0,0,0
6303,4,2,1,1,0,0,0,0,0
6304,2,1,0,0,1,0,0,0,0
6305,4,0,0,0,0,0,0,0,0
6306,4,0,0,0,0,0,0,0,0
6307,0,0,0,0,1,1,0,0,0
6308,1,0,0,0,0,1,0,0,0
6309,3,0,0,0,0,0,0,0,0
6310,0,2,0,0,0,2,0,0,0
6311,0,0,0,1,0,2,0,0,0
6312,0,0,0,1,1,0,0,0,0
6313,3,0,0,1,0,0,0,0,0
6314,1,0,0,1,0,0,0,0,0
6315,2,0,0,0,0,0,0,0,0
6316,0,0,0,0,1,1,0,0,0
6317,2,0,0,0,0,0,0,0,0
6318,4,2,1,1,1,0,0,0,0
6319,1,0,0,0,0,1,0,0,0
6320,2,1,0,0,0,0,0,0,0
6321,0,0,0,0,1,1,0,0,0
6322,1,2,0,0,0,0,0,0,0
6323,0,0,0,0,1,1,0,0,0
6324,0,0,0,0,0,2,0,0,0
6325,1,1,1,0,0,0,0,0,0
6326,0,0,0,0,0,2,0,0,0
6327,0,2,1,1,0,1,0,0,0
6328,0,1,0,0,2,0,0,0,0
6329,2,0,0,0,0,0,0,0,0
6330,3,1,0,0,1,0,0,1,0
6331,2,1,0,3,0,0,0,0,0
6332,0,0,0,2,0,0,0,0,0
6333,4,2,0,1,2,0,0,0,0
6334,0,1,0,0,0,1,0,0,0
6335,2,0,0,0,1,0,0,0,0
6336,0,0,0,1,1,1,0,0,0
6337,3,1,1,0,0,0,0,0,0
6338,0,1,0,0,0,2,0,0,0
6339,0,1,0,0,2,0,0,0,0
6340,0,0,0,0,1,1,0,0,0
6341,0,1,0,1,0,0,0,0,0
6342,2,0,0,0,0,0,0,0,0
6343,0,1,0,0,0,0,0,0,1
6344,4,1,1,0,1,1,0,0,0
6345,3,2,1,0,0,0,1,0,0
6346,4,3,0,0,0,0,0,0,0
6347,0,0,0,0,0,2,0,0,0
6348,2,0,0,0,0,0,0,0,0
6349,0,1,0,0,1,0,0,0,0
6350,0,1,0,1,0,0,0,0,0
6351,3,2,0,0,0,0,0,0,0
6352,2,1,0,0,0,0,0,0,0
6353,3,2,0,0,0,0,0,0,0
6354,3,1,0,0,1,0,0,0,0
6355,3,3,0,1,0,0,0,0,0
6356,2,0,0,1,0,0,0,0,0
6357,0,2,0,1,1,0,0,0,0
6358,0,1,0,1,0,1,0,0,0
6359,0,2,0,0,0,0,0,0,0
6360,3,1,1,0,0,0,0,0,0
6361,0,1,0,2,1,0,0,0,0
6362,2,1,0,0,0,0,0,0,0
6363,0,2,0,0,0,0,0,0,0
6364,2,0,1,0,1,0,0,0,0
6365,4,0,0,1,0,0,0,0,0
6366,0,3,0,0,0,0,0,0,0
6367,1,1,0,2,0,0,0,0,0
6368,3,1,1,1,0,0,0,0,0
6369,0,0,0,1,0,2,0,0,0
6370,3,1,0,0,0,0,0,0,0
6371,3,1,0,0,0,0,0,0,0
6372,2,0,0,0,0,0,0,0,0
6373,0,0,0,1,0,1,0,0,0
6374,3,0,0,0,0,0,0,0,0
6375,0,1,0,0,1,1,0,0,0
6376,1,2,0,0,1,0,0,0,0
6377,0,0,0,2,0,0,0,0,0
6378,0,0,0,1,0,1,0,0,0
6379,1,0,0,0,0,1,0,0,0
6380,0,0,0,1,0,1,0,0,0
6381,0,1,0,0,1,0,0,0,0
6382,1,0,0,2,0,0,0,0,0
6383,1,1,0,0,0,0,0,0,0
6384,3,0,1,0,0,1,0,0,0
6385,0,0,0,0,1,1,0,0,0
6386,0,1,0,0,0,0,1,0,0
6387,3,1,1,3,0,0,1,0,0
6388,1,1,0,0,0,0,1,0,0
6389,1,1,1,0,0,0,0,0,0
6390,1,1,0,0,0,0,0,0,0
6391,0,0,0,1,0,0,0,0,1
6392,0,1,0,0,1,0,0,0,0
6393,3,1,0,0,0,0,0,0,0
6394,0,0,0,2,0,0,0,0,0
6395,5,1,0,1,1,0,0,0,0
6396,3,1,0,1,0,0,0,1,0
6397,1,0,0,1,1,0,0,0,0
6398,0,0,0,0,0,2,0,0,0
6399,2,0,0,0,0,0,0,0,0
6400,0,2,0,1,0,0,0,0,0
6401,2,1,0,0,0,1,0,0,0
6402,1,1,0,0,0,0,0,0,0
6403,3,3,0,0,0,0,0,0,0
6404,4,1,0,2,0,0,0,0,0
6405,1,1,0,0,1,1,0,0,0
6406,0,0,0,1,1,0,0,0,0
6407,1,0,0,1,0,0,0,0,0
6408,0,0,0,0,3,0,0,0,0
6409,2,1,0,0,1,0,0,0,0
6410,1,0,0,0,0,1,0,0,0
6411,2,0,0,1,0,0,0,0,0
6412,1,0,0,1,0,0,0,0,0
6413,3,0,0,1,2,0,1,0,0
6414,6,3,0,0,1,0,0,0,0
6415,1,0,0,0,1,0,0,0,0
6416,0,0,0,0,0,2,0,0,0
6417,4,1,0,2,0,0,0,0,0
6418,2,1,0,0,1,0,0,0,0
6419,4,2,0,1,0,0,0,0,0
6420,0,0,0,1,1,1,0,0,0
6421,3,0,0,1,0,1,0,0,0
6422,2,1,1,0,0,0,0,0,0
6423,5,0,0,0,0,0,0,0,0
6424,3,1,1,1,1,1,0,0,0
6425,3,1,0,0,0,0,0,0,0
6426,4,2,0,1,0,0,0,0,0
6427,2,1,1,0,0,0,0,0,0
6428,3,0,0,1,0,0,0,0,0
6429,2,0,0,0,0,0,0,0,0
6430,3,1,0,1,1,0,0,0,0
6431,3,1,0,1,0,0,0,0,0
6432,2,0,0,0,1,0,0,0,0
6433,0,0,1,0,1,0,0,0,0
6434,2,0,0,0,1,0,0,0,0
6435,2,1,0,0,0,0,0,0,0
6436,0,0,0,1,1,0,0,0,0
6437,1,0,0,1,0,1,0,0,0
6438,0,1,0,1,1,1,0,0,0
6439,2,0,0,0,0,0,0,1,0
6440,3,2,1,0,0,1,0,0,0
6441,3,1,0,1,0,0,0,0,0
6442,1,0,1,0,0,0,0,0,0
6443,3,0,1,0,0,0,0,0,0
6444,0,0,0,1,0,1,0,0,0
6445,2,0,0,2,0,0,0,0,0
6446,1,1,0,1,0,0,0,0,0
6447,0,0,0,1,0,3,0,0,0
6448,0,1,0,1,0,0,0,0,0
6449,1,1,0,0,0,0,1,0,0
6450,0,1,0,0,1,0,0,0,0
6451,4,0,0,0,1,0,0,0,0
6452,0,0,0,1,1,0,0,0,0
6453,1,1,0,0,0,1,0,0,0
6454,1,1,0,0,0,1,0,0,0
6455,2,0,0,0,0,0,0,0,0
6456,3,0,1,1,1,0,0,0,0
6457,0,1,1,0,0,1,0,0,0
6458,3,0,1,1,0,0,1,0,0
6459,2,0,0,0,0,0,1,0,0
6460,2,0,1,0,0,0,0,0,0
6461,4,1,0,0,0,0,0,0,0
6462,0,1,0,0,0,0,1,0,0
6463,2,1,0,0,0,0,0,0,0
6464,3,2,0,0,0,0,0,0,0
6465,4,2,0,1,1,0,0,0,0
6466,0,0,0,0,1,1,0,0,0
6467,0,1,0,0,0,1,0,0,0
6468,0,0,0,1,1,0,0,0,0
6469,0,0,0,1,0,1,0,0,0
6470,1,0,1,0,0,0,0,0,1
6471,3,2,0,0,0,0,0,0,0
6472,0,1,0,0,0,2,0,0,0
6473,0,0,0,1,1,0,0,0,1
6474,3,0,0,0,0,0,0,0,0
6475,3,0,1,0,0,0,0,0,0
6476,3,0,1,0,0,0,0,0,0
6477,2,0,0,0,0,0,0,0,0
6478,1,0,0,1,0,0,0,0,0
6479,3,0,0,0,0,0,0,0,0
6480,2,0,0,0,1,0,0,0,0
6481,1,0,1,0,0,0,0,0,0
6482,4,0,1,0,0,0,0,0,0
6483,3,2,1,1,0,0,0,0,0
6484,7,0,0,0,0,0,0,0,0
6485,2,0,0,0,0,0,0,0,0
6486,0,1,0,1,1,0,0,0,0
6487,1,1,0,2,0,0,0,0,0
6488,1,1,0,0,1,0,0,0,0
6489,1,0,0,0,0,1,0,0,0
6490,0,0,0,1,1,0,0,0,0
6491,0,0,0,0,0,2,0,0,0
6492,1,1,0,0,0,0,0,0,0
6493,0,0,0,0,2,0,0,0,0
6494,0,1,0,0,1,1,0,0,0
6495,0,1,0,1,0,0,0,0,0
6496,4,2,1,1,0,0,0,0,0
6497,0,1,0,0,1,0,0,0,0
6498,0,0,1,1,0,0,0,0,0
6499,2,2,0,1,1,0,0,0,0
6500,2,0,0,0,1,0,0,0,0
6501,0,1,0,1,0,2,0,0,0
6502,0,1,0,0,0,1,0,0,0
6503,3,1,1,0,0,0,0,0,0
6504,3,2,0,0,0,1,0,0,0
6505,0,0,0,1,1,0,0,0,0
6506,1,0,0,0,1,0,0,0,0
6507,3,0,0,0,1,0,0,0,0
6508,2,0,0,0,0,0,0,0,0
6509,2,1,1,2,1,0,0,0,0
6510,3,1,0,1,1,0,0,0,0
6511,2,0,1,0,0,0,0,0,0
6512,3,1,0,0,0,0,0,0,0
6513,4,1,0,2,1,1,0,0,0
6514,2,2,0,0,0,0,0,0,0
6515,4,3,0,0,0,0,0,0,1
6516,3,1,1,0,0,0,0,0,0
6517,4,1,0,0,1,0,0,0,0
6518,2,0,0,0,0,0,1,0,0
6519,2,1,1,0,1,0,0,0,0
6520,5,1,1,0,0,0,0,0,0
6521,0,3,0,0,0,0,0,0,0
6522,2,1,0,1,2,0,0,0,0
6523,3,0,1,1,0,0,0,0,0
6524,1,1,0,1,0,0,0,0,0
6525,2,1,0,2,1,0,0,0,0
6526,2,3,1,0,0,0,1,0,0
6527,0,0,0,0,2,0,0,0,0
6528,4,1,0,0,0,0,0,0,0
6529,2,1,0,0,0,0,0,0,0
6530,1,2,0,3,0,0,0,0,0
6531,1,2,0,0,0,0,0,0,0
6532,1,0,1,0,0,0,0,0,0
6533,2,0,0,0,0,0,0,0,0
6534,2,0,0,0,0,0,0,0,0
6535,2,0,0,0,0,0,0,0,0
6536,4,2,0,0,0,1,0,0,0
6537,2,1,0,1,2,1,0,0,0
6538,4,0,1,2,2,0,0,0,0
6539,3,1,1,1,0,0,0,0,0
6540,4,1,0,0,0,0,0,0,0
6541,0,0,0,0,1,1,0,0,0
6542,0,2,0,0,1,0,0,0,0
6543,0,0,0,0,0,2,0,0,0
6544,4,1,0,0,0,0,0,0,0
6545,4,0,0,0,0,0,0,0,0
6546,4,1,0,1,0,0,0,0,0
6547,0,0,0,1,1,0,0,0,0
6548,3,0,1,1,0,0,0,0,0
6549,4,0,0,1,0,0,0,0,0
6550,0,0,0,0,0,2,1,0,0
6551,2,2,1,0,0,0,0,0,0
6552,0,0,0,0,1,0,0,0,1
6553,3,0,0,0,1,1,0,0,0
6554,5,3,0,2,0,0,0,0,0
6555,4,2,1,2,1,0,0,0,0
6556,4,1,0,3,2,0,0,0,0
6557,0,0,0,1,1,0,0,0,0
6558,4,1,1,0,1,0,0,0,0
6559,2,1,0,1,1,0,0,0,0
6560,3,2,0,1,0,1,0,0,1
6561,2,0,1,0,0,0,0,0,0
6562,4,0,0,0,0,1,0,0,0
6563,2,3,1,0,0,0,0,0,0
6564,4,1,1,0,0,0,0,0,0
6565,1,1,0,2,1,0,0,0,0
6566,0,0,0,2,0,0,0,0,0
6567,2,2,0,0,0,0,0,0,0
6568,0,1,0,0,1,1,0,0,0
6569,3,0,0,0,0,0,0,0,0
6570,0,1,0,1,0,1,0,0,0
6571,4,1,0,1,0,0,0,0,0
6572,0,0,0,1,0,2,0,0,0
6573,5,1,0,0,1,0,0,1,0
6574,4,0,1,1,0,1,0,0,0
6575,5,0,1,0,0,0,0,0,0
6576,2,0,0,1,2,0,0,0,0
6577,2,0,0,0,2,0,0,0,0
6578,7,2,0,0,0,0,0,0,0
6579,2,2,1,0,0,0,0,0,0
6580,4,0,0,0,0,0,0,0,0
6581,2,0,0,0,0,0,0,0,0
6582,2,0,0,0,0,0,0,0,0
6583,3,2,0,2,1,1,0,0,0
6584,4,0,0,0,0,0,0,0,0
6585,1,0,0,0,1,0,0,0,0
6586,2,0,0,0,0,0,0,0,0
6587,0,0,0,2,0,0,0,0,0
6588,0,1,0,1,1,0,0,0,0
6589,3,1,0,0,1,0,0,0,0
6590,0,0,0,1,1,0,0,0,0
6591,0,1,0,1,0,0,0,0,0
6592,3,0,0,0,0,0,0,0,0
6593,1,3,0,0,0,1,0,0,0
6594,3,0,0,0,0,0,0,1,0
6595,3,3,1,1,0,0,0,0,0
6596,0,3,0,0,0,0,0,0,0
6597,0,1,0,1,1,0,0,0,1
6598,3,0,0,0,0,0,0,0,0
6599,0,0,1,1,0,0,0,0,0
6600,3,0,0,1,0,0,0,0,0
6601,3,2,0,0,0,0,0,0,0
6602,3,1,0,0,0,0,0,0,0
6603,3,1,0,1,0,0,0,0,0
6604,4,2,1,2,0,0,0,0,1
6605,2,1,0,0,0,0,0,0,0
6606,3,2,0,2,0,0,0,1,0
6607,2,0,0,0,0,0,0,0,0
6608,3,0,1,0,0,0,0,0,0
6609,3,2,1,0,0,0,0,0,0
6610,1,1,1,0,0,0,0,0,0
6611,4,1,1,1,0,0,0,0,0
6612,2,1,1,1,0,0,0,0,0
6613,3,3,1,1,0,0,0,0,0
6614,4,0,0,0,0,0,0,0,0
6615,0,0,1,0,1,0,0,0,0
6616,3,0,0,0,0,1,0,0,0
6617,2,0,1,1,1,1,0,0,0
6618,3,2,2,0,0,0,0,0,0
6619,2,0,0,0,0,0,0,0,0
6620,2,1,1,0,0,0,0,0,0
6621,2,1,1,0,0,0,0,0,0
6622,2,0,0,0,0,0,0,0,0
6623,3,0,0,0,1,0,0,0,0
6624,0,1,0,0,1,0,0,0,0
6625,1,1,1,3,0,0,0,0,0
6626,0,0,0,1,1,0,0,0,0
6627,2,1,0,0,0,0,0,1,0
6628,4,2,1,0,1,1,0,0,0
6629,3,1,0,0,0,0,0,0,0
6630,4,0,1,0,0,0,0,0,0
6631,3,1,0,0,2,0,0,0,0
6632,2,0,0,0,0,0,0,0,0
6633,1,1,0,0,1,0,1,0,0
6634,2,0,0,0,0,0,0,0,0
6635,3,2,1,0,1,0,0,0,0
6636,5,0,0,0,0,0,0,0,0
6637,2,1,0,1,0,0,0,0,0
6638,1,0,0,0,0,0,0,1,0
6639,5,2,0,0,0,0,1,0,0
6640,2,0,0,3,0,0,0,0,0
6641,4,0,1,0,0,0,0,0,0
6642,1,0,1,1,1,0,0,1,0
6643,1,0,0,1,0,0,0,0,0
6644,4,1,0,0,0,0,0,0,0
6645,2,0,0,0,0,0,0,0,0
6646,4,2,0,1,0,0,0,0,0
6647,2,2,0,1,1,0,0,0,0
6648,0,1,0,0,1,0,0,0,0
6649,4,1,0,0,0,0,0,0,0
6650,1,1,0,0,0,0,0,0,0
6651,3,1,0,0,1,0,0,0,0
6652,3,0,0,0,0,0,0,0,0
6653,2,1,0,0,0,0,0,0,0
6654,3,0,1,1,3,0,0,0,0
6655,3,1,0,0,0,0,0,0,0
6656,2,3,1,0,0,1,0,0,1
6657,4,0,1,0,0,0,0,0,0
6658,1,0,0,0,1,0,0,0,0
6659,3,0,0,0,0,0,0,0,0
6660,0,0,1,1,1,0,0,0,0
6661,5,2,0,1,2,0,0,0,0
6662,3,0,0,0,1,0,0,0,0
6663,4,0,0,0,1,0,0,0,0
6664,3,2,1,1,0,0,0,0,0
6665,0,1,0,0,1,0,0,0,0
6666,6,1,1,2,0,0,0,0,0
6667,2,1,1,1,0,0,0,0,0
6668,0,0,0,1,0,1,0,0,0
6669,1,0,0,1,0,0,0,0,0
6670,4,1,1,3,0,1,0,0,0
6671,0,1,1,0,0,0,0,0,0
6672,0,0,1,1,0,0,0,0,0
6673,0,1,0,0,1,0,0,0,0
6674,4,1,0,1,1,1,0,0,0
6675,1,0,0,1,1,0,0,0,0
6676,2,0,0,0,1,0,0,0,0
6677,6,2,1,0,1,0,0,0,0
6678,3,1,0,1,0,0,0,0,0
6679,1,1,0,1,1,0,0,0,0
6680,1,0,0,1,0,0,0,0,0
6681,0,0,0,0,2,0,0,0,0
6682,2,0,0,0,0,0,0,0,0
6683,0,1,0,1,0,1,0,0,0
6684,0,0,1,0,1,1,0,0,0
6685,4,2,0,0,1,0,0,0,0
6686,0,1,0,0,0,1,0,0,0
6687,4,2,0,0,0,0,0,0,0
6688,1,0,0,1,0,2,0,0,0
6689,4,1,0,3,1,0,0,0,0
6690,0,1,0,1,0,0,0,0,0
6691,0,0,0,0,1,1,0,0,0
6692,2,0,0,1,1,1,0,0,0
6693,2,0,1,0,0,0,0,0,0
6694,1,0,0,0,0,0,1,0,0
6695,0,1,0,0,0,1,0,0,0
6696,0,2,0,0,0,0,0,0,0
6697,0,1,0,1,0,0,0,0,0
6698,2,3,0,0,0,0,0,0,0
6699,2,0,0,0,0,0,0,0,0
6700,2,1,0,0,1,0,0,0,0
6701,3,1,0,1,0,0,0,0,0
6702,1,0,0,0,1,0,0,0,0
6703,5,1,0,0,1,0,0,0,0
6704,1,0,0,0,1,0,0,0,0
6705,3,1,1,0,0,0,0,0,0
6706,5,1,0,0,0,0,0,0,0
6707,0,0,0,1,0,1,0,0,0
6708,0,1,0,0,1,0,0,0,0
6709,2,1,0,0,0,0,0,0,0
6710,0,0,0,0,2,0,0,0,0
6711,2,0,0,0,0,0,0,0,0
6712,2,0,0,0,0,0,0,0,0
6713,0,0,0,1,0,0,0,0,1
6714,0,0,0,1,1,0,0,0,0
6715,3,1,0,0,0,0,0,0,0
6716,1,1,0,0,0,0,0,0,0
6717,4,0,1,1,1,0,0,0,0
6718,4,1,1,1,0,1,0,0,0
6719,0,2,0,1,0,0,0,0,0
6720,1,1,0,0,2,0,0,0,0
6721,0,2,0,0,0,0,0,0,0
6722,0,0,0,0,2,0,0,0,0
6723,0,0,0,0,2,0,0,0,0
6724,3,2,0,3,0,2,0,0,0
6725,0,0,0,1,2,0,0,0,0
6726,2,0,0,0,2,0,0,0,1
6727,2,3,0,0,0,0,0,0,0
6728,2,0,0,0,1,0,0,0,0
6729,3,2,1,1,1,0,0,0,0
6730,2,2,0,2,0,0,0,0,0
6731,0,0,0,1,2,0,0,0,0
6732,3,0,0,0,0,0,0,0,0
6733,3,0,1,0,0,0,0,0,0
6734,0,1,1,1,0,0,0,0,0
6735,0,1,0,0,1,0,0,0,0
6736,6,1,0,1,1,1,0,0,0
6737,1,1,0,1,0,0,1,0,0
6738,1,3,0,0,0,1,0,0,0
6739,5,0,0,0,0,0,0,0,0
6740,2,2,0,1,0,0,0,0,0
6741,3,0,0,0,0,0,0,0,0
6742,1,1,0,0,0,1,0,0,0
6743,0,2,0,0,2,0,0,0,0
6744,1,0,1,0,0,0,0,0,0
6745,1,2,0,0,0,0,0,0,0
6746,2,0,0,0,0,0,0,0,0
6747,0,3,0,0,0,0,0,0,0
6748,4,1,1,0,0,0,0,0,0
6749,2,0,1,0,0,0,0,0,0
6750,1,1,1,0,0,1,0,0,0
6751,2,0,0,0,2,0,0,0,0
6752,2,0,1,0,0,0,0,0,0
6753,0,3,0,0,0,0,0,0,0
6754,2,0,0,0,0,0,0,0,0
6755,2,1,1,0,0,0,1,0,0
6756,3,0,1,0,0,0,0,0,0
6757,4,1,0,0,0,0,0,0,0
6758,2,0,0,0,0,0,0,0,0
6759,3,0,1,0,0,0,0,0,0
6760,3,1,1,0,0,0,0,0,0
6761,3,0,0,0,0,0,0,0,0
6762,1,1,0,0,1,0,0,0,0
6763,1,2,0,1,1,0,0,0,0
6764,0,0,0,0,2,0,0,0,0
6765,1,1,1,0,0,0,0,0,0
6766,2,1,0,0,0,0,0,0,0
6767,5,0,0,1,0,0,0,1,0
6768,3,1,1,0,1,0,0,0,0
6769,0,0,0,0,0,1,0,1,0
6770,2,0,1,1,0,0,0,0,0
6771,1,1,0,1,0,0,0,0,0
6772,2,1,0,0,0,0,0,0,0
6773,1,2,0,0,1,0,0,0,0
6774,3,1,1,0,0,0,0,0,0
6775,0,1,0,0,2,0,0,0,0
6776,2,2,0,1,1,0,1,0,0
6777,3,0,1,1,0,0,0,0,0
6778,4,0,0,0,1,0,0,0,0
6779,2,0,1,2,0,0,0,0,0
6780,3,2,0,0,0,0,0,0,0
6781,4,0,0,0,1,0,0,0,0
6782,0,0,0,2,0,0,0,0,0
6783,0,0,0,0,0,2,0,0,0
6784,1,2,1,1,0,1,0,0,0
6785,5,1,1,0,1,0,0,0,0
6786,2,0,1,1,1,0,0,0,0
6787,3,0,1,0,0,0,0,0,0
6788,1,0,0,1,0,0,0,0,0
6789,0,0,1,1,1,0,0,0,0
6790,2,2,0,0,0,0,0,0,0
6791,4,1,1,1,2,1,0,0,0
6792,3,1,0,0,0,1,0,0,0
6793,0,1,0,1,0,0,0,0,0
6794,4,1,1,1,0,0,0,0,0
6795,1,0,0,0,0,0,1,0,0
6796,3,1,1,0,1,0,0,0,0
6797,3,0,1,2,0,0,0,0,0
6798,0,0,1,0,1,0,0,0,0
6799,4,3,1,1,1,0,0,0,0
6800,3,2,0,0,3,0,0,0,0
6801,2,0,0,1,0,0,0,0,0
6802,2,0,0,0,0,0,0,0,0
6803,3,1,0,1,0,0,0,0,0
6804,1,0,0,0,1,0,0,0,0
6805,0,0,0,1,1,0,0,0,0
6806,2,1,0,0,0,0,0,0,0
6807,1,0,0,0,1,0,0,0,0
6808,1,1,1,0,0,0,0,0,0
6809,4,3,2,0,1,0,0,0,0
6810,0,1,0,2,0,1,0,0,0
6811,0,1,1,0,0,0,0,0,0
6812,1,0,0,0,3,0,0,0,0
6813,0,1,0,0,1,0,0,0,0
6814,2,0,0,0,0,0,0,0,0
6815,2,0,0,0,0,0,0,0,0
6816,0,2,0,0,0,1,0,0,0
6817,2,0,0,1,0,0,0,0,0
6818,0,1,0,0,0,1,0,0,0
6819,5,1,0,0,1,1,0,0,0
6820,1,1,0,1,0,0,0,0,0
6821,0,0,1,1,0,0,0,0,0
6822,3,1,0,0,0,0,0,0,0
6823,1,0,1,0,1,0,0,1,0
6824,1,0,0,0,0,0,1,0,0
6825,0,1,1,0,0,0,0,0,0
6826,3,0,0,1,0,0,0,0,0
6827,4,1,0,1,0,0,0,0,0
6828,0,0,0,0,0,2,0,0,0
6829,1,1,0,0,0,0,0,0,0
6830,0,0,0,1,0,1,0,0,0
6831,4,1,1,0,0,0,0,0,0
6832,4,1,0,0,0,1,0,0,0
6833,0,0,0,1,1,0,0,0,0
6834,4,2,1,1,0,0,0,1,0
6835,5,2,0,0,0,0,0,0,0
6836,2,0,0,0,0,0,0,0,0
6837,0,0,0,1,0,1,0,0,0
6838,1,0,0,1,1,0,0,0,0
6839,5,2,1,0,1,0,0,0,0
6840,5,0,1,0,0,0,0,0,0
